Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value,log2_Fold_Change,Neg_log10_Adjusted_P_Value
sp|Q7L1Q6|BZW1_HUMAN,wilcoxon_signed_rank,66.0,0.0011721327900886536,2.6799767374987513,0.006222417322605585,1.42222047798124,2.206040865161268
sp|Q86UX2|ITIH5_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,2.413557111350361,7.449028392632803e-06,1.271160965289704,5.127900370370658
sp|Q8IWS0|PHF6_HUMAN,wilcoxon_signed_rank,45.0,0.00011970102787017822,2.196365352007128,0.0011375153123742284,1.135118057843657,2.9440427484863463
sp|Q8IXQ3|CI040_HUMAN,wilcoxon_signed_rank,33.0,2.380460500717163e-05,2.0620673838309824,0.0003649785924262513,1.044091477580125,3.4377326080471002
sp|Q8IYS5|OSCAR_HUMAN,wilcoxon_signed_rank,16.0,1.259148120880127e-06,2.120474855264825,5.982823596142306e-05,1.0843873754597786,4.22309380216404
sp|Q8N1W1|ARG28_HUMAN,wilcoxon_signed_rank,35.0,3.17990779876709e-05,2.1274038695689304,0.000447518402530301,1.0890939427081643,3.3491891012351362
sp|Q8NFV4|ABHDB_HUMAN,wilcoxon_signed_rank,79.0,0.003738619387149811,2.27957767767084,0.014938912938328011,1.1887665705455823,1.825681003729594
sp|Q8TCC3|RM30_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,3.0408984672547135,0.010771434853519994,1.6044976469397356,1.9677264408561816
sp|Q8WVV4|POF1B_HUMAN,wilcoxon_signed_rank,87.0,0.007071197032928467,2.883986620812874,0.02459034388479979,1.5280644717452785,1.6092353978075749
sp|Q8WW22|DNJA4_HUMAN,wilcoxon_signed_rank,94.0,0.011838570237159729,2.058831180076202,0.03679617782909944,1.0418255367928355,1.4341972909444396
sp|Q8WYQ3|CHC10_HUMAN,wilcoxon_signed_rank,87.0,0.007071197032928467,2.7919302083001853,0.02459034388479979,1.4812628780097103,1.6092353978075749
sp|Q92576|PHF3_HUMAN,wilcoxon_signed_rank,73.0,0.0022339224815368652,3.007512083566341,0.010104235616301053,1.5885705338655964,1.9954965352094234
sp|Q92823|NRCAM_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,4.223634824049493,1.1123882399664986e-05,2.0784851045099533,4.953743611092176
sp|Q96AJ9|VTI1A_HUMAN,wilcoxon_signed_rank,34.0,2.7544796466827393e-05,2.967888323990904,0.0004042430527348766,1.5694368071016793,3.39335743508225
sp|Q96CG8|CTHR1_HUMAN,wilcoxon_signed_rank,17.0,1.5422701835632324e-06,2.0325313976989587,7.048909153257097e-05,1.0232776386248859,4.151878086608091
sp|Q96EL2|RT24_HUMAN,wilcoxon_signed_rank,99.0,0.016727693378925323,2.2816503603078067,0.04835915694304977,1.1900777302344252,1.3155212789066515
sp|Q99685|MGLL_HUMAN,wilcoxon_signed_rank,14.0,8.195638656616211e-07,2.7287973301851105,4.796447550378195e-05,1.448265248553186,4.319080300220563
sp|Q9BSA9|TM175_HUMAN,wilcoxon_signed_rank,58.0,0.0005255788564682007,2.0107197349360004,0.0034269740926506725,1.0077120049669819,2.4650891787511613
sp|Q9BSL1|UBAC1_HUMAN,wilcoxon_signed_rank,90.0,0.008859716355800629,2.293495325911363,0.029464850167350808,1.197547967244871,1.530695763007936
sp|Q9H4G4|GAPR1_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,3.153950479570358,5.645579413363808e-06,1.657160008435611,5.248291479228238
sp|Q9H6B4|CLMP_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,2.4664353237471928,0.00012206917355774314,1.3024274566684824,3.9133939957115347
sp|Q9HB19|PKHA2_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,2.201263156754676,0.0003360757547027015,1.1383316269425714,3.4735628174282756
sp|Q9HBR0|S38AA_HUMAN,wilcoxon_signed_rank,14.0,8.195638656616211e-07,3.4635006802530968,4.796447550378195e-05,1.7922309571875001,4.319080300220563
sp|Q9HCU0|CD248_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,3.2493825135318835,1.1123882399664986e-05,1.7001655860474068,4.953743611092176
sp|Q9NQX5|NPDC1_HUMAN,wilcoxon_signed_rank,85.0,0.006060026586055756,2.0893677571407516,0.02170303551229968,1.0630664487034716,1.6634795189604923
sp|Q9NRA2|S17A5_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,2.037648508412057,0.0002783710472428479,1.026905210039086,3.5553759367214703
sp|Q9UI17|M2GD_HUMAN,wilcoxon_signed_rank,21.0,3.330409526824951e-06,2.045808733966764,0.00011099052305022875,1.0326712714487285,3.954714101958384
sp|Q9UJ83|HACL1_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,2.5843205126554696,1.1123882399664986e-05,1.369785007084232,4.953743611092176
sp|Q9UKF6|CPSF3_HUMAN,wilcoxon_signed_rank,51.0,0.000244140625,2.044170735053909,0.0019113064590130506,1.0315156993717538,2.718669672553768
sp|Q9Y2T3|GUAD_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,2.1655294576540003,0.0003360757547027015,1.1147197974908143,3.4735628174282756
