Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value
sp|P02766|TTHY_HUMAN,wilcoxon_signed_rank,101.0,0.019113145768642426,1.3225914373280168,0.053987043286471456
sp|P02768|ALBU_HUMAN / sp|ALBU_HUMAN|P02768,wilcoxon_signed_rank,123.0,0.06981273740530014,1.2560202569658285,0.14617422635603639
sp|P02774|VTDB_HUMAN,wilcoxon_signed_rank,157.0,0.3052256628870964,1.0990195184299552,0.4417303848598238
sp|P02775|CXCL7_HUMAN,wilcoxon_signed_rank,129.0,0.09456419944763184,1.4318985245553348,0.18343314193580648
sp|P02776|PLF4_HUMAN,wilcoxon_signed_rank,189.0,0.7621389999985695,0.7656400145797287,0.8415796274719594
sp|P02786|TFR1_HUMAN,wilcoxon_signed_rank,83.0,0.0051764026284217834,1.2739434707402366,0.01930190848002808
sp|P02787|TRFE_HUMAN,wilcoxon_signed_rank,139.0,0.15023531019687653,1.1766543174084279,0.25804554532384055
sp|P02788|TRFL_HUMAN / sp|TRFL_HUMAN|P02788,wilcoxon_signed_rank,148.0,0.21827305853366852,1.3259572531553219,0.3435527739924812
sp|P02790|HEMO_HUMAN,wilcoxon_signed_rank,120.0,0.05953092873096466,1.3037347245046758,0.12915412612111185
sp|P02792|FRIL_HUMAN,wilcoxon_signed_rank,189.0,0.7621389999985695,0.8302714235900703,0.8415796274719594
sp|P02794|FRIH_HUMAN,wilcoxon_signed_rank,169.0,0.4514767527580261,0.7153180907652921,0.5881207753761584
sp|P02795|MT2_HUMAN,wilcoxon_signed_rank,116.0,0.04774715006351471,1.2989466630820536,0.10762732416853316
sp|P03950|ANGI_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,0.5773091148669076,0.0003360757547027015
sp|P03952|KLKB1_HUMAN,wilcoxon_signed_rank,149.0,0.22697687149047852,0.6858586045009473,0.35446209120820255
sp|P04003|C4BPA_HUMAN,wilcoxon_signed_rank,177.0,0.5670346617698669,0.6982378655808705,0.6866513605434245
sp|P04004|VTNC_HUMAN,wilcoxon_signed_rank,198.0,0.9196710959076881,0.9532544532303643,0.9493442867844688
sp|P04040|CATA_HUMAN / sp|CATA_HUMAN|P04040,wilcoxon_signed_rank,22.0,3.993511199951172e-06,1.619506726385652,0.00012206917355774314
sp|P04062|GLCM_HUMAN,wilcoxon_signed_rank,181.0,0.6295278295874596,0.9333071119894624,0.7401038839270501
sp|P04066|FUCO_HUMAN,wilcoxon_signed_rank,80.0,0.004060737788677216,0.7270854665541818,0.01603907872252013
sp|P04070|PROC_HUMAN,wilcoxon_signed_rank,174.0,0.5221440717577934,0.9148056611119816,0.6488268773603446
sp|P04075|ALDOA_HUMAN,wilcoxon_signed_rank,69.0,0.0015547871589660645,1.3501550422669846,0.007700127529286009
sp|P04080|CYTB_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,1.4416269157471118,0.0013473977827850511
sp|P04083|ANXA1_HUMAN,wilcoxon_signed_rank,129.0,0.09456419944763184,1.2193629098469598,0.18343314193580648
sp|P04114|APOB_HUMAN,wilcoxon_signed_rank,75.0,0.0026621222496032715,1.4916688105329423,0.011437354230838047
sp|P04150|GCR_HUMAN,wilcoxon_signed_rank,185.0,0.6947018131613731,0.9853872250332577,0.7922704375858911
sp|P04156|PRIO_HUMAN,wilcoxon_signed_rank,81.0,0.004406772553920746,1.2839878457989384,0.017082472929132196
sp|P04179|SODM_HUMAN,wilcoxon_signed_rank,40.0,6.318092346191406e-05,1.7227603950819321,0.0007359350769265184
sp|P04180|LCAT_HUMAN,wilcoxon_signed_rank,190.0,0.7792982533574104,0.9493378653277817,0.8552143420677367
sp|P04181|OAT_HUMAN,wilcoxon_signed_rank,175.0,0.5369088649749756,0.9194453843146292,0.6622013988730167
sp|P04196|HRG_HUMAN,wilcoxon_signed_rank,177.0,0.5670346617698669,0.9572343958947003,0.6866513605434245
sp|P04211|LV743_HUMAN,wilcoxon_signed_rank,182.0,0.6455853804945946,1.071701670296109,0.7550973046535607
sp|P04216|THY1_HUMAN,wilcoxon_signed_rank,201.0,0.973184622824192,0.9563983975985896,0.9838451664068458
sp|P04217|A1BG_HUMAN,wilcoxon_signed_rank,161.0,0.35016296058893204,0.7948568957633921,0.48906637015898863
sp|P04233|HG2A_HUMAN,wilcoxon_signed_rank,104.0,0.02322421222925186,1.3252742835602134,0.06233388953477611
sp|P04259|K2C6B_HUMAN,wilcoxon_signed_rank,160.0,0.33856552094221115,0.794834112762071,0.47773476477555754
sp|P04264|K2C1_HUMAN,wilcoxon_signed_rank,199.0,0.9374814853072166,0.9380036615398016,0.9629652499977166
sp|P04271|S100B_HUMAN,wilcoxon_signed_rank,92.0,0.01025690883398056,1.2845813756663746,0.0329912235216305
sp|P04275|VWF_HUMAN,wilcoxon_signed_rank,67.0,0.0012892335653305054,1.2585580884317225,0.006695921948074778
sp|P04278|SHBG_HUMAN,wilcoxon_signed_rank,181.0,0.6295278295874596,0.8658022001171827,0.7401038839270501
sp|P04350|TBB4A_HUMAN,wilcoxon_signed_rank,190.0,0.7792982533574104,1.027325642578329,0.8552143420677367
sp|P04406|G3P_HUMAN,wilcoxon_signed_rank,103.0,0.021778732538223267,1.5303775304646883,0.05941792919325381
sp|P04424|ARLY_HUMAN,wilcoxon_signed_rank,113.0,0.040213532745838165,1.1287588021316697,0.09446145063498647
sp|P04430|KV116_HUMAN,wilcoxon_signed_rank,203.0,1.0,1.0336136154478504,1.0
sp|P04433|KV311_HUMAN / sp|A0A0A0MRZ8|KVD11_HUMAN,wilcoxon_signed_rank,189.0,0.7621389999985695,1.0459694610522514,0.8415796274719594
sp|P04439|HLAA_HUMAN,wilcoxon_signed_rank,178.0,0.5823858305811882,1.050250049668242,0.6976708938989321
sp|P04440|DPB1_HUMAN,wilcoxon_signed_rank,161.0,0.35016296058893204,1.1105330598121441,0.48906637015898863
sp|P04632|CPNS1_HUMAN,wilcoxon_signed_rank,194.0,0.8489041775465012,0.9807055162680977,0.903502139730685
sp|P04732|MT1E_HUMAN,wilcoxon_signed_rank,155.0,0.2842133492231369,1.109606952387075,0.4189004493003176
sp|P04792|HSPB1_HUMAN,wilcoxon_signed_rank,81.0,0.004406772553920746,0.816080131840623,0.017082472929132196
sp|P04839|CY24B_HUMAN,wilcoxon_signed_rank,201.0,0.973184622824192,1.0343885844244036,0.9838451664068458
sp|P04843|RPN1_HUMAN,wilcoxon_signed_rank,41.0,7.204711437225342e-05,0.48192682932686026,0.0007985083184121112
sp|P04844|RPN2_HUMAN,wilcoxon_signed_rank,75.0,0.0026621222496032715,0.6120395276370603,0.011437354230838047
sp|P04899|GNAI2_HUMAN,wilcoxon_signed_rank,87.0,0.007071197032928467,0.7768980311277117,0.02459034388479979
sp|P04920|B3A2_HUMAN,wilcoxon_signed_rank,193.0,0.831373319029808,1.0538129423506897,0.8895787197378036
sp|P04921|GLPC_HUMAN,wilcoxon_signed_rank,138.0,0.14377250522375107,1.1825822918807691,0.24962527227524653
sp|P05023|AT1A1_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,0.46590649547711116,8.07378561266007e-06
sp|P05026|AT1B1_HUMAN,wilcoxon_signed_rank,165.0,0.3989470452070236,0.8322436322338098,0.5385504556817177
sp|P05062|ALDOB_HUMAN,wilcoxon_signed_rank,197.0,0.9018996506929398,0.9398909084118204,0.9382649953772854
sp|P05067|A4_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,0.634750903309443,0.010771434853519994
sp|P05089|ARGI1_HUMAN,wilcoxon_signed_rank,152.0,0.25451332330703735,1.10450699661693,0.38542424693924654
sp|P05090|APOD_HUMAN,wilcoxon_signed_rank,36.0,3.663450479507446e-05,1.810334372539927,0.0004966355607671253
sp|P05091|ALDH2_HUMAN,wilcoxon_signed_rank,180.0,0.6136380508542061,1.025134142824425,0.7267643154119781
sp|P05106|ITB3_HUMAN,wilcoxon_signed_rank,179.0,0.5979221016168594,1.2466945780803518,0.7125473468237666
sp|P05107|ITB2_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,1.4364515333750492,0.010771434853519994
sp|P05109|S10A8_HUMAN,wilcoxon_signed_rank,111.0,0.03575380891561508,1.4821376023726816,0.08665784292224078
