Protein,Mean OM Protein Peak Area,Mean SC Protein Peak Area,log2(Fold Change),P Value,Adjusted P Value
sp|Q9H0P0|5NT3A_HUMAN,3231618.0886008306,2391703.4468730153,-0.5424080149021177,0.008859716355800629,0.029464850167350808
sp|O43707|ACTN4_HUMAN,939641692.4326324,665806990.8391238,-0.49927436671678255,0.009536407887935638,0.031196469975598586
sp|P16435|NCPR_HUMAN,65423193.78039044,85837657.97273795,0.30824174249593556,0.009536407887935638,0.031196469975598586
sp|P53814|SMTN_HUMAN,3875252.1079009525,2496288.657621148,-0.48857243116406807,0.009536407887935638,0.031196469975598586
sp|P15502|ELN_HUMAN,2444533.972756942,3742944.104906298,0.7310049295521176,0.009536407887935638,0.031196469975598586
sp|Q9BY44|EIF2A_HUMAN,31944846.90601961,36823341.05525662,0.19965692433596757,0.009536407887935638,0.031196469975598586
sp|O94925|GLSK_HUMAN,7118575.580001592,5480245.02974965,-0.38690240743463544,0.009536407887935638,0.031196469975598586
sp|Q5TD97|FHL5_HUMAN,18321192.807084147,13913864.85720256,-0.37319055755474945,0.009536407887935638,0.031196469975598586
sp|P13591|NCAM1_HUMAN,9293780.259174597,6962220.343851365,-0.6112710740490817,0.009536407887935638,0.031196469975598586
sp|P63172|DYLT1_HUMAN,892109.1307116908,692731.4957878574,-0.386365342483436,0.009536407887935638,0.031196469975598586
sp|Q92905|CSN5_HUMAN,29164270.415860314,33210153.741661347,0.19275101807593925,0.009536407887935638,0.031196469975598586
sp|Q13442|HAP28_HUMAN,167042404.0136185,219350748.1415058,0.339674659887582,0.009536407887935638,0.031196469975598586
sp|P42773|CDN2C_HUMAN,26298545.566055994,36428650.264063194,0.35692926704746053,0.009536407887935638,0.031196469975598586
sp|O15144|ARPC2_HUMAN,73335858.81980649,59260240.45131189,-0.3809505667285465,0.009536407887935638,0.031196469975598586
sp|P0C870|JMJD7_HUMAN,9976635.830070544,12829537.380157301,0.27967723684232804,0.009536407887935638,0.031196469975598586
sp|Q96B36|AKTS1_HUMAN,29753797.90345339,35353841.020114355,0.2514285085401179,0.009536407887935638,0.031196469975598586
sp|P09603|CSF1_HUMAN,236317.98893117934,355784.18489581824,0.7534738494082891,0.009536407887935638,0.031196469975598586
sp|Q14012|KCC1A_HUMAN / sp|Q8IU85|KCC1D_HUMAN,1206036.116304702,1951998.1199621155,0.44804165362109977,0.009536407887935638,0.031196469975598586
sp|Q76M96|CCD80_HUMAN,2234692.5988989864,3078720.8135167114,0.4121245288122855,0.009536407887935638,0.031196469975598586
sp|P61160|ARP2_HUMAN,172816684.25452867,129022982.18748453,-0.49734502866805336,0.009536407887935638,0.031196469975598586
sp|Q15700|DLG2_HUMAN,4511290.701003121,3666286.465037503,-0.3228263955747357,0.009536407887935638,0.031196469975598586
sp|O15120|PLCB_HUMAN,12905572.47589636,9500487.031105032,-0.63435431727725,0.009536407887935638,0.031196469975598586
sp|P09960|LKHA4_HUMAN,972851893.7961749,782707781.3329766,-0.336533156009111,0.009536407887935638,0.031196469975598586
sp|Q9UBV8|PEF1_HUMAN,10067139.291493285,8328680.3019547695,-0.3280731515882609,0.009536407887935638,0.031196469975598586
sp|P98095|FBLN2_HUMAN,30045946.503139414,44790987.33256101,0.45390756942471466,0.009536407887935638,0.031196469975598586
sp|E9PAV3|NACAM_HUMAN / sp|Q13765|NACA_HUMAN,42936641.2684574,50113340.309270866,0.2352429017260896,0.01025690883398056,0.0329912235216305
sp|P22087|FBRL_HUMAN,6727125.347003417,4929632.697654528,-0.4315430630698964,0.01025690883398056,0.0329912235216305
sp|P59190|RAB15_HUMAN,97704294.61338386,123053821.9494115,0.3332183506613932,0.01025690883398056,0.0329912235216305
sp|P02671|FIBA_HUMAN,3647470900.630626,2978234725.4637427,-0.47360450118058645,0.01025690883398056,0.0329912235216305
sp|O15533|TPSN_HUMAN,5091789.007603271,3707275.2447746247,-0.5586699595442715,0.01025690883398056,0.0329912235216305
sp|Q9NTK5|OLA1_HUMAN,99041078.4328598,71973892.36689244,-0.6926079317363966,0.01025690883398056,0.0329912235216305
sp|Q8N9V3|WSDU1_HUMAN,618347.9716236459,1052335.9165101931,0.511942467674375,0.01025690883398056,0.0329912235216305
sp|P51688|SPHM_HUMAN,9867310.451476384,13783406.834716182,0.39541227860087524,0.01025690883398056,0.0329912235216305
sp|Q99575|POP1_HUMAN,1381337.4361596643,1986786.2677445528,0.36229011106939674,0.01025690883398056,0.0329912235216305
sp|Q9UBF6|RBX2_HUMAN,4348605.046049789,5975878.271303053,0.2807976908224858,0.01025690883398056,0.0329912235216305
sp|Q9BV38|WDR18_HUMAN,995457.0368936766,804312.1509961566,-0.44206752229805285,0.01025690883398056,0.0329912235216305
sp|Q96S90|LYSM1_HUMAN / sp|Q8IV50|LYSM2_HUMAN,2114908.1060175304,2848958.25190045,0.570690497441107,0.01025690883398056,0.0329912235216305
sp|P49257|LMAN1_HUMAN,18745583.301992822,14639857.557417775,-0.41011498734828233,0.01025690883398056,0.0329912235216305
sp|Q9NP97|DLRB1_HUMAN,16920402.18594674,21143591.125948034,0.2307471235603819,0.01025690883398056,0.0329912235216305
sp|Q9H3Q1|BORG4_HUMAN,23327550.69948366,29958306.455989968,0.2914890666488215,0.01025690883398056,0.0329912235216305
sp|P30520|PURA2_HUMAN,20272068.70415451,17624426.22364429,-0.3157945916669683,0.01025690883398056,0.0329912235216305
sp|P04271|S100B_HUMAN,128563163.95992012,160445570.16190076,0.3612982849851002,0.01025690883398056,0.0329912235216305
sp|P25686|DNJB2_HUMAN,19374242.73784832,23187015.42444331,0.24025956034131063,0.01025690883398056,0.0329912235216305
sp|Q9BWM7|SFXN3_HUMAN,36159177.407413825,27270366.107177526,-0.42855533280778896,0.01025690883398056,0.0329912235216305
sp|Q9Y4P3|TBL2_HUMAN,4026144.384213111,6388830.880163013,0.49612375749500004,0.01025690883398056,0.0329912235216305
sp|P29218|IMPA1_HUMAN,65852166.6188488,54961782.49200736,-0.3567286748665644,0.01025690883398056,0.0329912235216305
sp|Q02040|AK17A_HUMAN,2819815.0237519266,3940383.2344481093,0.3787562177850178,0.01025690883398056,0.0329912235216305
sp|Q6UXH1|CREL2_HUMAN,8712163.600193188,10535069.91287218,0.22096268504026753,0.01025690883398056,0.0329912235216305
sp|P06132|DCUP_HUMAN,58141403.91366793,75874000.37416716,0.3144426465745429,0.01025690883398056,0.0329912235216305
sp|Q14677|EPN4_HUMAN,11319298.86011081,13571802.498465339,0.23249467284135023,0.01025690883398056,0.0329912235216305
sp|P10523|ARRS_HUMAN,5046646.3868694035,6623198.205656454,0.2838582060963679,0.01102352887392044,0.03484974642025309
sp|Q9Y5S2|MRCKB_HUMAN,4639982.414239773,5822683.682688613,0.2773077389929964,0.01102352887392044,0.03484974642025309
sp|O00391|QSOX1_HUMAN,18319370.528452642,22426557.56605488,0.25469791453986085,0.01102352887392044,0.03484974642025309
sp|Q6ZSR9|YJ005_HUMAN,11954462.928554764,14712306.186977252,0.3101663378566073,0.01102352887392044,0.03484974642025309
sp|O95758|PTBP3_HUMAN,29757489.04332101,23308118.392755095,-0.38316323583567474,0.01102352887392044,0.03484974642025309
sp|P14543|NID1_HUMAN,508136604.8055466,675310515.9211662,0.34581336660008183,0.01102352887392044,0.03484974642025309
sp|Q9Y657|SPIN1_HUMAN,1417014.5477266398,1078240.5367411445,-0.4979962211553789,0.01102352887392044,0.03484974642025309
sp|Q99798|ACON_HUMAN,1194872225.1988807,855463265.4751345,-0.7138404684023041,0.01102352887392044,0.03484974642025309
sp|P25815|S100P_HUMAN,2269160.04092803,6086269.638885158,0.6749915522564359,0.01102352887392044,0.03484974642025309
sp|Q9NW68|BSDC1_HUMAN,12619070.594430655,14698819.025647478,0.22546596308650738,0.01102352887392044,0.03484974642025309
sp|Q16222|UAP1_HUMAN,67555167.97800438,90097435.7748125,0.3329944043913783,0.01102352887392044,0.03484974642025309
sp|Q12962|TAF10_HUMAN,135276.18974882807,240018.20968542644,0.7141733783152394,0.01102352887392044,0.03484974642025309
sp|P14780|MMP9_HUMAN,26880776.557049036,139869080.60151646,0.8034189432515033,0.01102352887392044,0.03484974642025309
sp|Q9BSU1|PHAF1_HUMAN,2094806.4163975588,3135978.641245976,0.6642003393898283,0.01102352887392044,0.03484974642025309
sp|Q16740|CLPP_HUMAN,26563022.44699536,32037754.646277674,0.28024999916784615,0.01102352887392044,0.03484974642025309
sp|P59998|ARPC4_HUMAN,117921168.9599408,88118143.51074287,-0.49522373071237863,0.01102352887392044,0.03484974642025309
sp|P50225|ST1A1_HUMAN,70789104.27708851,52122248.097388975,-0.5288315411599894,0.01102352887392044,0.03484974642025309
sp|Q5HYW2|NHSL2_HUMAN,1289377.7069388945,1664582.3176667856,0.42972451920137494,0.01102352887392044,0.03484974642025309
sp|Q6P9B6|MEAK7_HUMAN,3753452.367543615,4993736.385176467,0.36516211161249285,0.01102352887392044,0.03484974642025309
sp|Q9Y305|ACOT9_HUMAN,13866303.571437737,10229945.267400587,-0.4414303060553141,0.01102352887392044,0.03484974642025309
sp|Q9UHG3|PCYOX_HUMAN,137596998.6196181,173491277.1941193,0.26053585256396755,0.01102352887392044,0.03484974642025309
sp|O94989|ARHGF_HUMAN,688439.582506991,1065178.4730406397,0.46154651977126765,0.01102352887392044,0.03484974642025309
sp|O43583|DENR_HUMAN,6226435.847957511,8558902.315043824,0.3848447096784212,0.01102352887392044,0.03484974642025309
sp|Q96PU5|NED4L_HUMAN,676901.569977371,483469.5083794485,-0.5757964468686467,0.01102352887392044,0.03484974642025309
sp|Q6ZU35|CRACD_HUMAN,412882.32654030516,155064.8450221158,-2.480705978438325,0.01102352887392044,0.03484974642025309
sp|P00491|PNPH_HUMAN,406761171.80272543,573186563.0950941,0.4411570577933003,0.01102352887392044,0.03484974642025309
sp|P08865|RSSA_HUMAN,430588585.7816564,332546509.21139663,-0.3447977164719425,0.011838570237159729,0.03679617782909944
sp|O14791|APOL1_HUMAN,3927665.7797713727,6981225.059012525,0.5870125794958463,0.011838570237159729,0.03679617782909944
sp|Q86TU7|SETD3_HUMAN,18898680.773258634,21822654.516453564,0.18353797963846422,0.011838570237159729,0.03679617782909944
sp|Q9HCN8|SDF2L_HUMAN,10103155.317734497,12846694.957739832,0.25214998882732537,0.011838570237159729,0.03679617782909944
sp|Q9NTM9|CUTC_HUMAN,22755850.26307764,29909999.76518011,0.40951648589667516,0.011838570237159729,0.03679617782909944
sp|Q9NWX5|ASB6_HUMAN,12238758.665590411,8775916.884589998,-0.49529198351439646,0.011838570237159729,0.03679617782909944
sp|P20336|RAB3A_HUMAN,66675836.22013392,79760947.17514423,0.2578728397986432,0.011838570237159729,0.03679617782909944
sp|P49914|MTHFS_HUMAN,228436.4014720078,549887.6295952107,0.6192134375801821,0.011838570237159729,0.03679617782909944
sp|P17987|TCPA_HUMAN,81911210.66387618,66185211.77699582,-0.42214049968168904,0.011838570237159729,0.03679617782909944
sp|P17813|EGLN_HUMAN,3812402.9705543434,3210701.1728510563,-0.5580220668957929,0.011838570237159729,0.03679617782909944
sp|Q10570|CPSF1_HUMAN,18451321.699088667,15890786.907483453,-0.2061773518317677,0.011838570237159729,0.03679617782909944
sp|Q9Y2I6|NINL_HUMAN,720033.6366730715,1154774.253943707,0.7554136470185789,0.011838570237159729,0.03679617782909944
sp|Q99715|COCA1_HUMAN,27394142.61438786,21365194.519361623,-0.3859329035835071,0.011838570237159729,0.03679617782909944
sp|P30046|DOPD_HUMAN,627317995.8736804,742049989.8926886,0.2592708895850323,0.011838570237159729,0.03679617782909944
sp|P15848|ARSB_HUMAN,6161997.644012413,8753254.902393525,0.42183928308092167,0.011838570237159729,0.03679617782909944
sp|Q9HD15|SRA1_HUMAN,3810225.9021480232,5021440.636653436,0.3409901645408536,0.011838570237159729,0.03679617782909944
sp|O75023|LIRB5_HUMAN,9657797.073563004,11966840.404723551,0.2504973986027431,0.011838570237159729,0.03679617782909944
sp|Q8WW22|DNJA4_HUMAN,209685.24729817032,556620.0663629397,1.0418255367928355,0.011838570237159729,0.03679617782909944
sp|Q14517|FAT1_HUMAN,411738.35675654875,718404.4146371402,0.828360626923211,0.011838570237159729,0.03679617782909944
sp|Q86VX9|MON1A_HUMAN,1413249.5825935774,1895664.734657485,0.3418921229719784,0.011838570237159729,0.03679617782909944
sp|P53990|IST1_HUMAN,4599023.6676986655,5353456.563244967,0.20527726613957828,0.011838570237159729,0.03679617782909944
sp|Q9GZM7|TINAL_HUMAN,8422917.711979799,10298114.736020653,0.2968392882250393,0.011838570237159729,0.03679617782909944
sp|Q06265|EXOS9_HUMAN,3037970.5750191393,2111544.658460234,-0.5550300031568361,0.011838570237159729,0.03679617782909944
sp|P12883|MYH7_HUMAN,73937760.6486592,87357554.98488678,0.26283563910623226,0.011838570237159729,0.03679617782909944
sp|Q9BQG2|NUD12_HUMAN,12523513.323959922,17272040.321470045,0.454441183925582,0.011838570237159729,0.03679617782909944
sp|Q8IZY2|ABCA7_HUMAN,5528349.330814959,7560821.163883883,0.36238975887724995,0.011838570237159729,0.03679617782909944
sp|P07357|CO8A_HUMAN,102789136.75504395,71788803.25136848,-0.7197724411937859,0.012704446911811829,0.038858279623827256
sp|P35611|ADDA_HUMAN,201826116.51296312,152627018.12685752,-0.5136769118076537,0.012704446911811829,0.038858279623827256
sp|O43251|RFOX2_HUMAN / sp|Q9NWB1|RFOX1_HUMAN,15680221.544506395,12388046.325529117,-0.4978258732252251,0.012704446911811829,0.038858279623827256
sp|Q8WUF5|IASPP_HUMAN,1923379.3690184602,1459533.8728848223,-0.4603487723687994,0.012704446911811829,0.038858279623827256
sp|P62805|H4_HUMAN,359354673.79038554,230678689.3195004,-0.8351800996949107,0.012704446911811829,0.038858279623827256
sp|P28340|DPOD1_HUMAN,66408699.12597675,47233328.33044903,-0.864860502854693,0.012704446911811829,0.038858279623827256
sp|Q16630|CPSF6_HUMAN,7821369.708403547,5909641.296976522,-0.3968729052356033,0.012704446911811829,0.038858279623827256
sp|Q7KZF4|SND1_HUMAN,18075046.68605004,14466723.71179074,-0.3420781501402181,0.012704446911811829,0.038858279623827256
sp|Q9P0J0|NDUAD_HUMAN,8639179.007933088,6510236.470106969,-0.3823786747727786,0.012704446911811829,0.038858279623827256
sp|Q8IWZ3|ANKH1_HUMAN,2556731.761335972,1571330.8983799599,-0.737270117314175,0.012704446911811829,0.038858279623827256
sp|O43837|IDH3B_HUMAN,41451966.265274785,33581837.82874573,-0.32953173640904243,0.012704446911811829,0.038858279623827256
sp|Q5VWN6|TASO2_HUMAN,1609689.402517134,2415022.185935708,0.4811603200167144,0.012704446911811829,0.038858279623827256
sp|Q9HC35|EMAL4_HUMAN,10931192.843342248,8232560.261031814,-0.4404195744084253,0.012704446911811829,0.038858279623827256
sp|O75558|STX11_HUMAN,476783.2241446224,634156.9312283834,0.3742151099664181,0.012704446911811829,0.038858279623827256
sp|O75323|NIPS2_HUMAN,37570167.112327196,26726876.323029935,-0.5513708423524425,0.012704446911811829,0.038858279623827256
sp|Q15833|STXB2_HUMAN,10289485.440211466,13952429.724246938,0.28243446517987847,0.012704446911811829,0.038858279623827256
sp|Q13432|U119A_HUMAN,7261619.965076953,5195573.948050728,-0.6721346618850541,0.012704446911811829,0.038858279623827256
sp|Q9NRX2|RM17_HUMAN,11433180.488186214,8651099.031496199,-0.6194381849646,0.012704446911811829,0.038858279623827256
sp|O43768|ENSA_HUMAN,10648265.304457862,15490782.834047023,0.4608201784034388,0.012704446911811829,0.038858279623827256
sp|O75947|ATP5H_HUMAN,62222912.27890946,76515466.37560913,0.3057651494055001,0.012704446911811829,0.038858279623827256
sp|Q12974|TP4A2_HUMAN,5724778.941317567,8645848.700096134,0.707375277309854,0.012704446911811829,0.038858279623827256
sp|Q6FI13|H2A2A_HUMAN / sp|Q99878|H2A1J_HUMAN / sp|P0C0S8|H2A1_HUMAN / sp|Q9BTM1|H2AJ_HUMAN / sp|P20671|H2A1D_HUMAN / sp|Q96KK5|H2A1H_HUMAN / sp|Q16777|H2A2C_HUMAN,243008205.20164493,144915200.18660638,-0.8014461317276181,0.012704446911811829,0.038858279623827256
sp|P09669|COX6C_HUMAN,14639858.287115755,10608717.145936918,-0.4565792802729113,0.012704446911811829,0.038858279623827256
sp|Q8NDH3|PEPL1_HUMAN,26310808.275544576,41110706.314282164,0.5135083668955609,0.012704446911811829,0.038858279623827256
sp|Q969V3|NCLN_HUMAN,5182077.771505037,4098067.6513621425,-0.3382305758746182,0.012704446911811829,0.038858279623827256
sp|Q32MK0|MYLK3_HUMAN / sp|Q86YV6|MYLK4_HUMAN / sp|Q9H1R3|MYLK2_HUMAN,7565197.092635038,6409622.631847371,-0.27439690686226753,0.01362369954586029,0.04101639530776884
sp|O15127|SCAM2_HUMAN,6181192.962015864,7567524.124884916,0.28404142867332843,0.01362369954586029,0.04101639530776884
sp|Q13200|PSMD2_HUMAN,79980490.68132487,92393709.62415245,0.1732450911324143,0.01362369954586029,0.04101639530776884
sp|P28906|CD34_HUMAN,42626246.78605438,32050048.947573993,-0.44329702892598544,0.01362369954586029,0.04101639530776884
sp|P46109|CRKL_HUMAN,69222690.87962194,59044215.83218239,-0.24724568006016792,0.01362369954586029,0.04101639530776884
sp|Q86T03|PP4P1_HUMAN,4744430.4481199905,6921231.896742999,0.3672924006798678,0.01362369954586029,0.04101639530776884
sp|P60660|MYL6_HUMAN,956276426.8908228,1062068930.2086207,0.14713361499241767,0.01362369954586029,0.04101639530776884
sp|Q9Y388|RBMX2_HUMAN,2487369.042416641,3537215.6516222586,0.3592832309472285,0.01362369954586029,0.04101639530776884
sp|Q96DE0|NUD16_HUMAN,21807994.39842942,26624276.80683767,0.3223461877506607,0.01362369954586029,0.04101639530776884
sp|Q9Y3E7|CHMP3_HUMAN,10807666.397195758,13634597.386710225,0.34754037920692554,0.01362369954586029,0.04101639530776884
sp|Q15006|EMC2_HUMAN,1754594.5598344668,1410210.6328949567,-0.26461517608902846,0.01362369954586029,0.04101639530776884
sp|Q8NHH1|TTL11_HUMAN,2428565.4715990373,3514323.6299345433,0.4647198285841503,0.01362369954586029,0.04101639530776884
sp|P19105|ML12A_HUMAN / sp|O14950|ML12B_HUMAN,64917493.5866937,80426649.64630795,0.28801134918363225,0.01362369954586029,0.04101639530776884
sp|Q9NXV6|CARF_HUMAN,409727.9844458859,274301.92669424374,-0.6920111796786573,0.01362369954586029,0.04101639530776884
sp|Q9BUN8|DERL1_HUMAN,6532362.312154858,4729752.1274016285,-0.5858668366541355,0.01362369954586029,0.04101639530776884
sp|Q9BV44|THUM3_HUMAN,2333612.676496954,1984955.8394654766,-0.25918882318051406,0.01362369954586029,0.04101639530776884
sp|O95210|STBD1_HUMAN,34172382.18065469,39929222.24031758,0.21372931520871058,0.01362369954586029,0.04101639530776884
sp|P84090|ERH_HUMAN,2430616.936028453,1561369.8115389147,-0.7310769080496712,0.01362369954586029,0.04101639530776884
sp|Q04721|NOTC2_HUMAN,10112209.202360738,12474438.435974566,0.24853221670453937,0.01362369954586029,0.04101639530776884
sp|Q9NVI7|ATD3A_HUMAN,1799635.179934977,2480162.4484389997,0.6873251029333817,0.01362369954586029,0.04101639530776884
sp|A4D1P6|WDR91_HUMAN,8441336.112008324,6901027.313293188,-0.35501948629674995,0.01362369954586029,0.04101639530776884
sp|P36542|ATPG_HUMAN,157549143.51190427,201514582.96251884,0.3647025763695963,0.01362369954586029,0.04101639530776884
sp|P51884|LUM_HUMAN,4637096657.340521,7111881168.158738,0.4129905796906859,0.01362369954586029,0.04101639530776884
sp|Q96H79|ZCCHL_HUMAN,44870160.077973425,29164354.44347075,-0.7421056433434747,0.01362369954586029,0.04101639530776884
sp|Q9H425|CA198_HUMAN,42599257.12581287,55864930.85904006,0.2899521519157998,0.01362369954586029,0.04101639530776884
sp|P27918|PROP_HUMAN,6724603.954433745,8784807.16084415,0.42996793642809245,0.014598868787288666,0.043515510130557954
sp|Q9Y6K1|DNM3A_HUMAN,219233.903361955,395385.5771574973,-0.026906424544932164,0.014598868787288666,0.043515510130557954
sp|Q9H3Y8|PPDPF_HUMAN,189754.94894609269,273131.15194142034,0.6120188174426033,0.014598868787288666,0.043515510130557954
sp|Q8TET4|GANC_HUMAN,11771440.60921204,15038963.712922197,0.3505767487514646,0.014598868787288666,0.043515510130557954
sp|Q04446|GLGB_HUMAN,323608778.9042517,475739894.04782236,0.3425522172601821,0.014598868787288666,0.043515510130557954
sp|Q5T9S5|CCD18_HUMAN,2871632.15286029,4075864.4702559137,0.2685493326228499,0.014598868787288666,0.043515510130557954
sp|Q96MP5|ZSWM3_HUMAN,3492029.2819861136,4234640.159382454,0.24758661594412498,0.014598868787288666,0.043515510130557954
sp|Q6UUV9|CRTC1_HUMAN,4671623.421093581,5753182.062265309,0.35233715663237497,0.014598868787288666,0.043515510130557954
sp|Q9NY12|GAR1_HUMAN,5815765.003508223,4174409.878929929,-0.5307184483224713,0.014598868787288666,0.043515510130557954
sp|Q96T37|RBM15_HUMAN,604041.1584315195,380136.1057149097,-0.727505380397232,0.014598868787288666,0.043515510130557954
sp|P34913|HYES_HUMAN,52224990.2018979,40393126.11386203,-0.40753117820581064,0.014598868787288666,0.043515510130557954
sp|P53985|MOT1_HUMAN,216762.47334501846,213689.5970751555,-1.4218815424715896,0.014598868787288666,0.043515510130557954
sp|P22626|ROA2_HUMAN,455122524.81127644,366295605.28323823,-0.3452038318128,0.014598868787288666,0.043515510130557954
sp|Q92954|PRG4_HUMAN,11037194.020420304,14866326.481514275,0.3652643983872891,0.014598868787288666,0.043515510130557954
sp|P07998|RNAS1_HUMAN,36567870.5188918,51406455.46315795,0.28417382073200326,0.014598868787288666,0.043515510130557954
sp|Q12857|NFIA_HUMAN,960687.8810265138,1496517.6992678333,0.5313071953540577,0.014598868787288666,0.043515510130557954
sp|Q9UBS4|DJB11_HUMAN,12039379.024437124,13880807.216225987,0.1816950897014147,0.01563260704278946,0.0457444397550894
sp|Q96HE7|ERO1A_HUMAN,201981688.8723487,165108801.94133958,-0.33544881091154266,0.01563260704278946,0.0457444397550894
sp|Q15796|SMAD2_HUMAN,1398292.6174214482,941125.4327811226,-0.6548917133338001,0.01563260704278946,0.0457444397550894
sp|Q15811|ITSN1_HUMAN,44370212.22352235,51177132.80703992,0.19021726967236408,0.01563260704278946,0.0457444397550894
sp|Q16695|H31T_HUMAN / sp|P84243|H33_HUMAN / sp|Q71DI3|H32_HUMAN / sp|P68431|H31_HUMAN,149551827.56007215,100005304.02335927,-0.7715163692994753,0.01563260704278946,0.0457444397550894
sp|Q6VEQ5|WASH2_HUMAN / sp|C4AMC7|WASH3_HUMAN,3079183.1763976375,3816687.663645727,0.29119532942073917,0.01563260704278946,0.0457444397550894
sp|Q9UKV3|ACINU_HUMAN,16216721.506763497,13007318.633942563,-0.3143597324002541,0.01563260704278946,0.0457444397550894
sp|A0A0B4J271|TVAL3_HUMAN,1874361.316359205,1411010.7780789924,-0.4375389578485568,0.01563260704278946,0.0457444397550894
sp|P48509|CD151_HUMAN,27952564.94154873,34694358.64094175,0.28656667826194976,0.01563260704278946,0.0457444397550894
sp|Q13310|PABP4_HUMAN,77639163.97066346,61029127.240343764,-0.48494037903878223,0.01563260704278946,0.0457444397550894
sp|O43678|NDUA2_HUMAN,11942992.548275277,14690873.973593136,0.17944821189927854,0.01563260704278946,0.0457444397550894
sp|Q9Y512|SAM50_HUMAN,1656769.210207926,1293236.4752620652,-0.34107635647927853,0.01563260704278946,0.0457444397550894
sp|Q13838|DX39B_HUMAN,49432312.04152376,38366988.38373158,-0.34059492624750703,0.01563260704278946,0.0457444397550894
sp|Q9H496|IFG15_HUMAN,1000276.1152765157,1451758.9990282652,0.340585411042861,0.01563260704278946,0.0457444397550894
sp|Q16773|KAT1_HUMAN,4633061.811824484,5807451.004868841,0.3025176879657785,0.01563260704278946,0.0457444397550894
sp|Q9HBK9|AS3MT_HUMAN,5978073.312300152,13190551.788005786,0.8214651386746391,0.01563260704278946,0.0457444397550894
sp|P35579|MYH9_HUMAN,270290244.202774,326980547.5259839,0.25418219194875025,0.01563260704278946,0.0457444397550894
sp|Q9BQ61|TRIR_HUMAN,8472559.978859713,10461974.561903123,0.26338558501678205,0.01563260704278946,0.0457444397550894
sp|O95415|BRI3_HUMAN,522775.35359099804,743559.1582950823,-0.141473073000768,0.01563260704278946,0.0457444397550894
sp|P07996|TSP1_HUMAN,111578258.0361012,182545196.30659366,0.4446545608977823,0.01563260704278946,0.0457444397550894
sp|P24593|IBP5_HUMAN,11334905.21783945,14053033.326003918,0.26649166328808555,0.01563260704278946,0.0457444397550894
sp|P19087|GNAT2_HUMAN,89573462.6364703,72790032.96594776,-0.3450727479650785,0.01563260704278946,0.0457444397550894
sp|Q8IWC1|MA7D3_HUMAN,3259065.9777523396,4156104.9761346853,0.5840257471791109,0.01563260704278946,0.0457444397550894
sp|P07108|ACBP_HUMAN,458394974.57882166,647705003.6260712,0.36018474582621024,0.01563260704278946,0.0457444397550894
sp|Q9NQ50|RM40_HUMAN,3108127.5443438957,2262552.7695966847,-0.5656407750270072,0.01563260704278946,0.0457444397550894
sp|P60228|EIF3E_HUMAN,3949540.4316448383,2640244.594850174,-0.5628399860402072,0.01563260704278946,0.0457444397550894
sp|Q9Y3D8|KAD6_HUMAN,461366.6060880263,2235022.721855694,0.7355652302233214,0.01563260704278946,0.0457444397550894
sp|Q17R31|TATD3_HUMAN,8694321.92658147,10508222.505018767,0.24262821653076108,0.01563260704278946,0.0457444397550894
sp|P19397|CD53_HUMAN,1007213.7676195562,1906060.9774668203,0.6433899022835385,0.01563260704278946,0.0457444397550894
sp|O75122|CLAP2_HUMAN,296762.9261990651,227547.292344965,-0.05930611677612868,0.01563260704278946,0.0457444397550894
sp|Q96EL2|RT24_HUMAN,7885935.246346341,16075418.534310373,1.1900777302344252,0.016727693378925323,0.04835915694304977
sp|P61586|RHOA_HUMAN,181987397.28370363,221097381.91324478,0.2501598868460857,0.016727693378925323,0.04835915694304977
sp|O43169|CYB5B_HUMAN,5102972.238167405,6361683.522377367,0.2716085677445249,0.016727693378925323,0.04835915694304977
sp|Q96F24|NRBF2_HUMAN,3310300.9584515467,4749237.383077398,0.6633092811395641,0.016727693378925323,0.04835915694304977
sp|O75167|PHAR2_HUMAN,1091720.3510414124,1444780.106381243,0.5275180322411818,0.016727693378925323,0.04835915694304977
sp|P42025|ACTY_HUMAN,111978750.15577327,94847812.46275844,-0.2837708761557677,0.016727693378925323,0.04835915694304977
sp|P26641|EF1G_HUMAN,125666672.35558136,88806453.18061061,-0.5925052017594143,0.016727693378925323,0.04835915694304977
sp|P35609|ACTN2_HUMAN,153196182.16920722,110667345.91857043,-0.48641984902734287,0.016727693378925323,0.04835915694304977
sp|P21912|SDHB_HUMAN,162740451.38847944,190238510.6800759,0.2184262958666994,0.016727693378925323,0.04835915694304977
sp|P13489|RINI_HUMAN,987938146.3022581,868906410.391243,-0.18049101495347525,0.016727693378925323,0.04835915694304977
sp|Q9HDC9|APMAP_HUMAN,140845622.90983957,111992747.76974323,-0.47726177749537146,0.016727693378925323,0.04835915694304977
sp|P33316|DUT_HUMAN,34114130.06072715,29097385.98456517,-0.23060256134658905,0.016727693378925323,0.04835915694304977
sp|Q96RU3|FNBP1_HUMAN,21554232.338805098,25559246.262067974,0.23631950206237143,0.016727693378925323,0.04835915694304977
sp|P32004|L1CAM_HUMAN,2273897.245584453,3175371.025225497,0.48322110851600336,0.016727693378925323,0.04835915694304977
sp|P21266|GSTM3_HUMAN,306258668.23616046,229731726.1205986,-0.7472601931014039,0.016727693378925323,0.04835915694304977
sp|P62495|ERF1_HUMAN,1595925.942393354,2353391.2881292375,0.4904405664241788,0.016727693378925323,0.04835915694304977
